URI_Name,Provincia,Canton,Parroquia,Tipo,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
COLEGIODEBACHILLERATOJULIOISAACESPINOZAOCHOA,Loja_Province,PUYANGO,ALAMOR,COLEGIO DE BACHILLERATO JULIO ISAAC ESPINOZA OCHOA,8,27,4
COLEGIODEBACHILLERATOLAVICTORIA,Loja_Province,MACARA,LAVICTORIA,COLEGIO DE BACHILLERATO LA VICTORIA,10,3,42
COLEGIODEBACHILLERATOLAUTAROVICENTELOAYZA,Loja_Province,PUYANGO,ALAMOR,COLEGIO DE BACHILLERATO LAUTARO VICENTE LOAYZA,8,3,27
COLEGIODEBACHILLERATOLIBERTADORBOLIVAR,Loja_Province,LOJA,JIMBILLA,COLEGIO DE BACHILLERATO LIBERTADOR BOLIVAR,8,2,42
COLEGIODEBACHILLERATOLICEODELOJAPARTICULAR,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO LICEO DE LOJA PARTICULAR,40,27,255
COLEGIODEBACHILLERATOMACARA,Loja_Province,MACARA,GENERALELOYALFARO(SANSEBASTIAN),COLEGIO DE BACHILLERATO MACARA,22,56,8
COLEGIODEBACHILLERATOMANGAHURCO,Loja_Province,ZAPOTILLO,CAZADEROS(CAB.ENMANGAURCO),COLEGIO DE BACHILLERATO MANGAHURCO,9,3,30
COLEGIODEBACHILLERATOMANUELBENJAMINCARRION,Loja_Province,LOJA,YANGANA(ARSENIOCASTILLO),COLEGIO DE BACHILLERATO MANUEL BENJAMIN CARRION,14,3,91
COLEGIODEBACHILLERATOMANUELCARRIONPINZANO,Loja_Province,PUYANGO,VICENTINO,COLEGIO DE BACHILLERATO MANUEL CARRION PINZANO,11,3,62
COLEGIODEBACHILLERATOMANUELENRIQUERENGEL,Loja_Province,LOJA,ELSAGRARIO,COLEGIO DE BACHILLERATO MANUEL ENRIQUE RENGEL,13,3,70
COLEGIODEBACHILLERATOMARCOSOCHOAMUnOZ,Loja_Province,PUYANGO,CIANO,COLEGIO DE BACHILLERATO MARCOS OCHOA MU�OZ,7,2,68
COLEGIODEBACHILLERATOMATILDEHIDALGODEPROCEL,Loja_Province,CHAGUARPAMBA,SANTARUFINA,COLEGIO DE BACHILLERATO MATILDE HIDALGO DE PROCEL,8,3,54
COLEGIODEBACHILLERATOMONSLEONIDASPROAnOVILLALBA,Loja_Province,CATAMAYO,ELTAMBO,COLEGIO DE BACHILLERATO MONS LEONIDAS PROA�O VILLALBA,15,4,89
COLEGIODEBACHILLERATOPARTICULARANTONIOPEnACELI,Loja_Province,LOJA,VALLE,COLEGIO DE BACHILLERATO PARTICULAR  ANTONIO PE�A CELI,21,12,141
COLEGIODEBACHILLERATOPARTICULARCORDILLERA,Loja_Province,LOJA,ELSAGRARIO,COLEGIO DE BACHILLERATO PARTICULAR CORDILLERA,31,8,128
COLEGIODEBACHILLERATOPARTICULARDRJOSEMARIAVIVARCASTRO,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO PARTICULAR DR JOSE MARIA VIVAR CASTRO,5,3,15
COLEGIODEBACHILLERATOPARTICULAREUGENIOESPEJO,Loja_Province,LOJA,VALLE,COLEGIO DE BACHILLERATO PARTICULAR EUGENIO ESPEJO,50,27,432
COLEGIODEBACHILLERATOPARTICULARIBEROAMERICANOSANAGUST�N,Loja_Province,LOJA,VALLE,COLEGIO DE BACHILLERATO PARTICULAR IBEROAMERICANO SAN AGUST�N,18,5,95
